I_magnitude,period_days,I_band_amplitude,V_minus_I_color,star_type
15.495,2.99997,0.355,0.7350000000000012,Cepheid
15.719,2.8308179,0.309,0.8420000000000005,Cepheid
15.425,2.7448176,0.641,0.602999999999998,Cepheid
15.718,2.4740599,0.475,0.7139999999999986,Cepheid
15.517,2.3352899,0.687,0.5689999999999991,Cepheid
15.164,3.9130763,0.639,0.766,Cepheid
16.706,3.4703605,0.342,1.6750000000000007,Cepheid
15.056,4.0208293,0.306,0.7970000000000006,Cepheid
15.324,2.8396459,0.718,0.6620000000000008,Cepheid
15.24,3.3030524,0.488,0.6630000000000003,Cepheid
15.15,3.7522389,0.405,0.8200000000000003,Cepheid
14.984,4.8518017,0.48,0.8830000000000009,Cepheid
15.247,3.4962831,0.42,0.7779999999999987,Cepheid
15.427,3.0812677,0.45,0.7280000000000015,Cepheid
15.481,2.9744927,0.447,0.7490000000000006,Cepheid
15.217,3.6162128,0.385,0.770999999999999,Cepheid
14.672,5.5830671,0.243,0.7149999999999999,Cepheid
16.119,1.9284766,0.632,0.6879999999999988,Cepheid
15.066,4.5505746,0.336,0.8849999999999998,Cepheid
15.081,4.0956317,0.387,0.8179999999999996,Cepheid
15.399,3.1458169,0.513,0.7760000000000016,Cepheid
15.345,3.0735288,0.398,0.6959999999999997,Cepheid
15.128,4.0049828,0.547,0.7899999999999991,Cepheid
15.34,3.6523662,0.363,0.8099999999999987,Cepheid
15.664,2.3912232,0.633,0.702,Cepheid
14.653,6.1535625,0.251,0.8569999999999993,Cepheid
15.228,3.7271898,0.226,0.7750000000000004,Cepheid
14.655,5.2297043,0.494,0.6910000000000007,Cepheid
15.673,2.8754449,0.37,0.8390000000000004,Cepheid
15.716,2.4888918,0.298,0.702,Cepheid
14.459,6.4064766,0.351,0.8079999999999998,Cepheid
13.666,11.2313527,0.449,0.8710000000000004,Cepheid
15.749,2.6618625,0.581,0.868999999999998,Cepheid
16.864,1.2900238,0.289,0.6069999999999993,Cepheid
14.164,6.9369338,0.448,0.7680000000000007,Cepheid
13.654,12.2633195,0.387,0.8979999999999997,Cepheid
14.529,6.0134457,0.134,0.8339999999999996,Cepheid
15.234,3.8869678,0.388,0.7670000000000012,Cepheid
15.416,2.849398,0.362,0.6340000000000003,Cepheid
15.708,2.3831126,0.646,0.6629999999999985,Cepheid
15.608,3.1175013,0.32,0.8279999999999994,Cepheid
15.001,5.3041197,0.483,0.9410000000000007,Cepheid
15.259,3.5060409,0.285,0.734,Cepheid
14.796,5.1908547,0.458,0.8060000000000009,Cepheid
15.254,3.5101468,0.417,0.7569999999999997,Cepheid
15.323,3.0758369,0.494,0.6639999999999997,Cepheid
14.845,7.6851558,0.354,1.1869999999999994,Cepheid
13.215,15.8439736,0.704,0.8629999999999995,Cepheid
15.9,2.6060163,0.53,0.9039999999999981,Cepheid
13.923,5.7773189,0.3,0.6760000000000002,Cepheid
15.091,4.3808293,0.405,0.7890000000000015,Cepheid
15.525,3.0669047,0.271,0.7829999999999995,Cepheid
15.423,3.0693572,0.343,0.7449999999999992,Cepheid
14.823,6.2700103,0.194,1.0169999999999995,Cepheid
15.211,3.7269067,0.429,0.7449999999999992,Cepheid
